rank;country;population2023;yearlychange;netchange;density;land area;migrants;fert.rate;medianage;urbanpop%;worldshare;population_share
125;Ireland;5056935;;33826;73;68890;9999;1.8;38.0;;;0.0006286669392019911
201;Isle of Man;84710;;191;149;570;340;1.6;46.0;;;1.0530959250969346e-05
98;Israel;9174520;;136211;424;21640;9999;2.9;29.0;;;0.0011405559705725803
25;Italy;58870762;;-166712;200;294140;58496;1.3;48.0;;;0.007318682513227655
139;Jamaica;2825544;;-1833;261;10830;-10999;1.3;32.0;;;0.0003512653609470066
12;Japan;123294513;;-657179;338;364555;99994;1.3;49.0;;;0.015327700298324995
83;Jordan;11337052;;51183;128;88780;-157392;2.7;24.0;;;0.0014093971507274292
66;Kazakhstan;19606633;;208635;7;2699700;0;3.0;30.0;;;0.0024374531126397222
26;Kenya;55100586;;1073099;97;569140;-10000;3.2;20.0;;;0.0068499825979286035
193;Kiribati;133515;;2283;165;810;-400;3.2;22.0;;;1.659828856561412e-05
129;Kuwait;4310108;;41235;242;17820;11999;2.1;40.0;;;0.0005358230635730963
109;Kyrgyzstan;6735347;;104724;35;191800;-9999;2.9;24.0;;;0.0008373233950907641
103;Laos;7633779;;104304;33;230800;-9999;2.4;24.0;;;0.0009490144679483594
151;Latvia;1830211;;-20440;29;62200;-7630;1.6;44.0;;;0.0002275277707670388
122;Lebanon;5353930;;-135809;523;10230;-177331;2.1;29.0;;;0.000665588698648829
147;Lesotho;2330318;;24493;77;30360;-4000;2.9;22.0;;;0.0002896999634022003
120;Liberia;5418377;;115696;56;96320;-5000;4.0;18.0;;;0.000673600606698023
107;Libya;6888388;;76047;4;1759540;-2000;2.4;27.0;;;0.0008563491126533612
214;Liechtenstein;39584;;257;247;160;150;1.5;44.0;;;4.920995053598992e-06
142;Lithuania;2718352;;-31703;43;62674;-13128;1.6;44.0;;;0.00033793948933763453
168;Luxembourg;654768;;7169;253;2590;4883;1.4;39.0;;;8.139930500340805e-05
167;Macao;704149;;8981;23472;30;5000;1.1;39.0;;;8.753824136006155e-05
50;Madagascar;30325732;;714018;52;581795;-1500;3.7;19.0;;;0.003770027717481019
62;Malawi;20931751;;526434;222;94280;-6000;3.8;17.0;;;0.0026021888423142115
46;Malaysia;34308525;;370304;104;328550;48997;1.8;31.0;;;0.004265159706479319
175;Maldives;521021;;-2766;1737;300;-8652;1.7;32.0;;;6.477217471254042e-05
58;Mali;23293698;;700108;19;1220190;-39998;5.8;15.0;;;0.0028958208528200467
174;Malta;535064;;1778;1672;320;850;1.2;40.0;;;6.651796931484668e-05
213;Marshall Islands;41996;;427;233;180;0;2.6;26.0;;;5.22084954201049e-06
181;Martinique;366981;;-526;346;1060;-650;1.9;47.0;;;4.5622263686459465e-05
126;Mauritania;4862989;;126850;5;1030700;3000;4.3;18.0;;;0.0006045560027967438
157;Mauritius;1300557;;1088;641;2030;0;1.4;37.0;;;0.0001616823606488365
182;Mayotte;335995;;9894;896;375;0;4.3;17.0;;;4.177015291617808e-05
10;Mexico;128455567;;951442;66;1943950;-50239;1.8;30.0;;;0.01596931108059453
173;Micronesia;544321;;5308;778;700;-1642;2.7;26.0;;;6.766877901601801e-05
134;Moldova;3435931;;162935;105;32850;-125204;1.8;35.0;;;0.00042714731850008683
215;Monaco;36297;;-172;24360;1;200;2.1;54.0;;;4.5123625065805025e-06
